rowid,profId,univId,profDept,Class,Easiness,Helpfulness,Clarity,RaterInterest
535,78210,825,Psychology,Psych101,2,1,3,4
536,78210,825,Psychology,Psych101,2,3,3,2
537,78210,825,Psychology,psych101,4,4,4,4
538,78210,825,Psychology,psych101,1,1,3,4
539,78210,825,Psychology,Psych101,5,5,5,5
540,78210,825,Psychology,Psych101,4,5,5,3
541,78210,825,Psychology,GenPs101,4,5,5,5
542,78210,825,Psychology,psych101,4,5,4,4
543,78210,825,Psychology,Psych101,2,5,5,4
544,78210,825,Psychology,Psych101,4,5,5,4
545,78210,825,Psychology,PSYCH101,4,5,5,2
546,78210,825,Psychology,GPsyc101,3,4,4,2
547,78210,825,Psychology,GnPsy101,4,5,4,4
548,78210,825,Psychology,Psych06,2,4,5,4
549,78210,825,Psychology,PSY101,3,4,4,3
550,78210,825,Psychology,intropsyc,4,3,5,2
551,78210,825,Psychology,psych101,4,5,5,3
552,78210,825,Psychology,Psy101,2,4,4,4
553,78210,825,Psychology,psych101,3,5,4,4
554,78210,825,Psychology,PSYCH101,4,5,5,2
555,78210,825,Psychology,intro101,4,2,3,3
556,78210,825,Psychology,Psych101,2,3,5,2
557,78210,825,Psychology,PSY101,3,4,5,4
558,78210,825,Psychology,PSY101,4,5,5,3
559,78210,825,Psychology,Psych101,4,5,5,4
560,78210,825,Psychology,psych101,2,3,4,3
